X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id
315135,6764205,-0.0399018595041322,-0.0406053894425987,-0.113920171608059,-0.0795821170686741,0.724063009234112,0.779262426509888,0.795466254507986,0.790998448008277,0.436629289840299,0.407563025210084,-0.0982927000632333,-0.108420117865504,"3"
315165,6764205,-0.0380983393031586,-0.0389191869112543,-0.113152207471442,-0.0783303866553924,0.742918225547835,0.828789808917197,0.81184668989547,0.813206126035652,0.41590524534687,0.384508025122121,-0.0825214053734869,-0.0912998624484181,"4"
315195,6764205,-0.0362895400737435,-0.0379310344827586,-0.111213588502037,-0.0812394018806844,0.752956636005256,0.836032893097433,0.822455613903476,0.828986960882648,0.43093192333113,0.38755980861244,-0.0701716271996524,-0.0804890473764646,"5"
315225,6764205,-0.0377953769879595,-0.0370461086277631,-0.110280088529344,-0.0819115262873466,0.744389709906951,0.823485038974101,0.806350858927642,0.81228934404978,0.447966919365955,0.414806942968473,-0.0642466585662211,-0.0738382099827883,"6"
315255,6764205,-0.035162459464615,-0.0369057802761823,-0.112723384756377,-0.0774188598173866,0.759284358904852,0.835433654558933,0.840664711632454,0.837530864197531,0.454183266932271,0.403424657534247,-0.0788351759520197,-0.0819974821653378,"7"
315285,6764205,-0.0426225475121471,-0.0392239056230912,-0.114643473044913,-0.0798990748528175,0.749540561827251,0.794462459466201,0.831802803286612,0.818358426420593,0.435158501440922,0.386363636363636,-0.0908970363985944,-0.098700910855607,"8"
315315,6764205,-0.0362176628010705,-0.0389947495722966,-0.11307811462713,-0.0840627829761545,0.777263374485597,0.841354292623942,0.84263839811543,0.838678793681187,0.439156818907697,0.390694710006374,-0.0746919044052563,-0.0799252336448598,"9"
315345,6764205,-0.0349199031923476,-0.0414337578516683,-0.117833021985918,-0.0845382908729248,0.768953068592058,0.831498079385403,0.826535626535627,0.821633774668998,0.417575368826171,0.365017782088587,-0.0888366952196739,-0.0897919905248353,"10"
315375,6764205,-0.0334223047464315,-0.0376052601222748,-0.115863757471016,-0.097171919549973,0.715565509518477,0.767555797495917,0.765,0.766419345974169,0.447639332623358,0.431533786199499,-0.0709248711689721,-0.0695354377605718,"11"
315075,6764175,-0.0410187339292274,-0.0391343552750226,-0.109677419354839,-0.0846913013541428,0.728715728715729,0.808219178082192,0.805348773090709,0.814742698191933,0.429840799703813,0.388003037205771,-0.0298922488703511,-0.0405494402107442,"12"
315105,6764175,-0.0355521936459909,-0.0370505789152955,-0.110299155058232,-0.0842121351062204,0.702831511073731,0.776186687881199,0.770358306188925,0.779565567176187,0.420699399505475,0.381977380518059,-0.0908298845567414,-0.0905193734542457,"13"
315135,6764175,-0.0381748655129951,-0.0390992328631526,-0.111299261083744,-0.0820617930615653,0.716579020204816,0.813690169840453,0.793284365162644,0.803604074170802,0.44822934232715,0.399786400854397,-0.0813556861891284,-0.0779762898647521,"14"
315165,6764175,-0.0382973217751326,-0.0374568753080336,-0.111469121595704,-0.0824482310689998,0.744167337087691,0.816545863534117,0.816434892541087,0.816481294236603,0.430082644628099,0.383879781420765,-0.0835606604450825,-0.0945667408689917,"15"
315195,6764175,-0.04,-0.04,-0.114661366763492,-0.0831618263587164,0.730789897904352,0.79657551750575,0.811301715438951,0.806631232599342,0.43900848010437,0.398390342052314,-0.0908587257617729,-0.0924329880604096,"16"
315225,6764175,-0.0412642669007901,-0.0429410695899703,-0.11616657848991,-0.0865237366003063,0.716111111111111,0.781615302869288,0.781503798794865,0.777428646242472,0.434445567913718,0.411886662059433,-0.0848102125348,-0.0900770345511402,"17"
315255,6764175,-0.0356198867212084,-0.0374856173923575,-0.113797793562037,-0.0810028194772537,0.715233619021288,0.806301652892562,0.781548250265111,0.779244784790071,0.449860724233983,0.416577730345073,-0.0770798456947376,-0.077592577387306,"18"
315285,6764175,-0.0373268741071983,-0.0368146057293856,-0.112479351253942,-0.0758955676988464,0.74740207833733,0.837146371463715,0.809977437954374,0.809785322016975,0.43848167539267,0.401133711237079,-0.090553654960553,-0.0823156225218081,"19"
315315,6764175,-0.033315259955419,-0.0378108862111949,-0.114083050096054,-0.0806041573201735,0.745159602302459,0.826620825147348,0.806658446362515,0.810630407911001,0.45566742448847,0.412001340931948,-0.0813697349976637,-0.0798360044726053,"20"
315345,6764175,-0.0362515128811019,-0.0388118582119859,-0.113909393544652,-0.0800449269936353,0.7687648143271,0.828183873398644,0.837986041874377,0.836806427316093,0.46028580923895,0.409152086137281,-0.0450194436135208,-0.0464659685863875,"21"
315375,6764175,-0.0348465293754559,-0.0402730375426621,-0.11734693877551,-0.0953602238283982,0.754538065564888,0.777413180202352,0.800540540540541,0.794341675734494,0.420520231213873,0.394094057601167,-0.0960596700067807,-0.0938143480767647,"22"
