site,dist,aic,loglike,sig2,walds,waldp,lograts,logratp
kl,90,-2467.1274462873525,1237.5637231436763,0.0013545129588435417,3744.3945591104402,0,349.69397092204053,0
bl,100,-2555.2810911893,1281.64054559465,0.0026046065128971668,77070.44058507924,0,612.1352888888432,0
kh,100,-4810.312603789964,2409.156301894982,9.80334814426876e-4,1228.0424652723582,0,271.992740816715,0
kl,100,-2430.027913875024,1219.013956937512,0.0014359364854734092,3409.13756499967,0,312.59443850971184,0
bl,110,-2525.240446221744,1266.620223110872,0.0027041853644170647,86707.37061479829,0,582.0946439212876,0
kh,110,-4789.299326442693,2398.6496632213466,9.98698626032149e-4,1711.0624203436507,0,250.97946346944445,0
kl,110,-2402.6925879423165,1205.3462939711583,0.0014985560919600978,3347.17191715305,0,285.25911257700454,0
bl,120,-2490.965052265066,1249.482526132533,0.002821297100313779,89788.75582735162,0,547.8192499646093,0
kh,120,-4770.607778674116,2389.303889337058,0.0010152750237067325,2260.3550158326143,0,232.28791570086742,0
kl,120,-2383.770876598042,1195.885438299021,0.0015432423749445878,3820.594545513335,0,266.3374012327299,0
bl,130,-2439.1643485839177,1223.5821742919588,0.003006665304113582,83586.1196421723,0,496.0185462834611,0
kh,130,-4746.824779293587,2377.4123896467936,0.0010367106747496031,2711.285286818122,0,208.50491632033845,0
kl,130,-2369.624623151551,1188.8123115757755,0.0015772650583901187,5282.201052609879,0,252.19114778623907,0
bl,140,-2389.0252775222284,1198.5126387611142,0.003197026440743251,71852.87163180897,0,445.8794752217718,0
kh,140,-4725.833910754061,2366.9169553770307,0.001055926754147979,2847.7671984956746,0,187.5140477808127,0
kl,140,-2361.5003711215722,1184.7501855607861,0.001597002096613472,7161.67453240648,0,244.06689575626024,0
bl,150,-2335.3501047622967,1171.6750523811484,0.00341384094943763,57876.628970778096,0,392.20430246184014,0
kh,150,-4708.267863979196,2358.133931989598,0.001072237620217691,3116.3563497427426,0,169.94800100594694,0
kl,150,-2354.32630172053,1181.163150860265,0.0016145623260420882,9445.449756588694,0,236.89282635521795,0
bl,160,-2291.131212694655,1149.5656063473275,0.0036033727836682888,46311.82129723663,0,347.9854103941984,0
kh,160,-4692.97228064995,2350.486140324975,0.0010865965755502737,3176.322143247627,0,154.6524176767016,0
kl,160,-2346.0867685516077,1177.0433842758039,0.0016350053023747046,11050.345662679507,0,228.65329318629574,0
bl,170,-2244.255726884359,1126.1278634421794,0.003815731350573759,35114.443139087976,0,301.1099245839023,0
kh,170,-4678.6623646250555,2343.3311823125277,0.0011001778448344892,3277.2091174413567,0,140.34250165180674,0
kl,170,-2333.3283129490837,1170.6641564745419,0.001667225387381047,11872.41633278683,0,215.89483758377173,0
bl,180,-2200.184739151642,1104.092369575821,0.004026825646850822,25664.327388490514,0,257.03893685118555,0
kh,180,-4666.616120745888,2337.308060372944,0.0011117346649735483,3312.818740959976,0,128.29625777263936,0
kl,180,-2318.183414653306,1163.091707326653,0.0017063193719436304,11804.662590825827,0,200.74993928799404,0
bl,190,-2158.506161448843,1083.2530807244216,0.004237344361869837,18068.203805014746,0,215.36035914838658,0
kh,190,-4654.011209492484,2331.005604746242,0.0011239606351500346,3130.9450780059774,0,115.6913465192356,0
kl,190,-2298.4437061925664,1153.2218530962832,0.0017586916859104428,10731.236423301816,0,181.01023082725442,0
bl,200,-2118.847573267817,1063.4237866339085,0.004448103477818114,12016.000879920488,0,175.70177096736052,0
kh,200,-4643.685976712681,2325.8429883563404,0.0011340770324669673,2968.2255437957356,0,105.36611373943197,0
kl,200,-2278.9540040128422,1143.4770020064211,0.0018120166949061954,9367.831292158378,0,161.52052864753023,0
bl,210,-2089.381444555932,1048.690722277966,0.004611738172358993,8352.580320036346,0,146.23564225547534,0
kh,210,-4632.242796379908,2320.121398189954,0.00114540901607657,2527.4723226568713,0,93.92293340665947,0
kl,210,-2261.3876582761995,1134.6938291380998,0.001861496106268564,8017.943379578588,0,143.95418291088754,0
bl,220,-2057.2777785301787,1032.6388892650893,0.004797316411737378,5110.229174898569,0,114.13197622972211,0
kh,220,-4617.302957742468,2312.651478871234,0.0011604054047372545,1878.9490880278654,0,78.98309476921895,0
kl,220,-2241.5306417339198,1124.7653208669599,0.0019191565922152547,6395.929802639821,0,124.09716636860776,0
bl,230,-2033.3564675493035,1020.6782337746517,0.00494095036135018,3218.032359741233,0,90.21066524884691,0
kh,230,-4602.789810849628,2305.394905424814,0.0011752169069168981,1277.3868386623506,0,64.46994787637959,9.992007221626409e-16
kl,230,-2224.694617733923,1116.3473088669616,0.0019695195614908576,5096.391064021821,0,107.26114236861122,0
