"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"49","kluane_high_142",60.961513,-138.4152097,2000,2020,21,"2000to2020","ndvi.max",0.00107,0.7231,0.095,0.5813,0.022,3,"no_trend"
"50","kluane_high_143",60.961527,-138.4146567,2000,2020,21,"2000to2020","ndvi.max",0.00304,0.5631,0.274,0.098,0.064,11.4,"greening"
"51","kluane_high_144",60.961541,-138.4141036,2000,2020,21,"2000to2020","ndvi.max",0.00389,0.573,0.326,0.0478,0.082,14.3,"greening"
"52","kluane_high_145",60.9615551,-138.4135506,2000,2020,20,"2000to2020","ndvi.max",0.00272,0.4708,0.322,0.0589,0.057,12.1,"greening"
"53","kluane_high_146",60.9611599,-138.4184989,2000,2020,21,"2000to2020","ndvi.max",0.0033,0.5448,0.274,0.098,0.069,12.7,"greening"
"54","kluane_high_147",60.961174,-138.4179459,2000,2020,21,"2000to2020","ndvi.max",0.00278,0.6155,0.2,0.23,0.058,9.4,"no_trend"
"55","kluane_high_148",60.961188,-138.4173929,2001,2020,20,"2000to2020","ndvi.max",4e-05,0.5981,0.006,1,0.001,0.2,"no_trend"
"56","kluane_high_149",60.961202,-138.4168399,2000,2020,21,"2000to2020","ndvi.max",0.00091,0.5701,0.032,0.8711,0.019,3.3,"no_trend"
"57","kluane_high_15",60.9639327,-138.4154694,2000,2020,20,"2000to2020","ndvi.max",0.00116,0.7343,0.123,0.4841,0.024,3.3,"no_trend"
"58","kluane_high_150",60.9612161,-138.4162869,2000,2020,20,"2000to2020","ndvi.max",-5e-05,0.6221,-0.041,0.8337,-0.001,-0.2,"no_trend"
"59","kluane_high_151",60.9612301,-138.4157339,2000,2020,20,"2000to2020","ndvi.max",-0.00243,0.8361,-0.216,0.2079,-0.051,-6.1,"no_trend"
"60","kluane_high_152",60.9612441,-138.4151808,2000,2020,19,"2000to2020","ndvi.max",-2e-05,0.6215,-0.007,1,0,0,"no_trend"
"61","kluane_high_154",60.9612722,-138.4140748,2001,2020,19,"2000to2020","ndvi.max",0.00133,0.5553,0.124,0.4954,0.028,5,"no_trend"
"62","kluane_high_155",60.9612862,-138.4135218,2000,2020,21,"2000to2020","ndvi.max",0.00209,0.6314,0.253,0.1273,0.044,7,"no_trend"
"63","kluane_high_156",60.9609191,-138.417364,2000,2020,21,"2000to2020","ndvi.max",0.00079,0.6912,0.105,0.5376,0.017,2.5,"no_trend"
"64","kluane_high_157",60.9609332,-138.416811,2000,2020,21,"2000to2020","ndvi.max",1e-04,0.6726,0.011,0.9741,0.002,0.3,"no_trend"
"65","kluane_high_158",60.9609472,-138.416258,2000,2020,20,"2000to2020","ndvi.max",-0.00133,0.8663,-0.146,0.4011,-0.028,-3.2,"no_trend"
"66","kluane_high_159",60.9609612,-138.415705,2000,2020,20,"2000to2020","ndvi.max",-0.00075,0.6961,-0.064,0.7264,-0.016,-2.3,"no_trend"
"67","kluane_high_16",60.9635656,-138.4193119,2001,2020,20,"2000to2020","ndvi.max",0.00211,0.488,0.181,0.2939,0.044,9,"no_trend"
"68","kluane_high_160",60.9609753,-138.415152,2000,2020,18,"2000to2020","ndvi.max",0.00016,0.6813,0.029,0.9016,0.003,0.4,"no_trend"
"69","kluane_high_162",60.9610033,-138.414046,2001,2020,20,"2000to2020","ndvi.max",0.00086,0.6494,0.099,0.5756,0.018,2.8,"no_trend"
"70","kluane_high_163",60.9606924,-138.4156761,2000,2020,19,"2000to2020","ndvi.max",-8e-04,0.6373,-0.111,0.5445,-0.017,-2.7,"no_trend"
"71","kluane_high_165",60.9607204,-138.4145701,2000,2020,21,"2000to2020","ndvi.max",0.00023,0.699,0.021,0.9225,0.005,0.7,"no_trend"
"72","kluane_high_17",60.9635796,-138.4187589,2001,2020,18,"2000to2020","ndvi.max",0.00112,0.5037,0.118,0.5366,0.024,4.8,"no_trend"
"73","kluane_high_18",60.9635937,-138.4182058,2001,2020,18,"2000to2020","ndvi.max",0.00019,0.5438,0,1,0.004,0.7,"no_trend"
"74","kluane_high_19",60.9636077,-138.4176528,2000,2020,21,"2000to2020","ndvi.max",0.00141,0.5149,0.158,0.3468,0.03,5.8,"no_trend"
"75","kluane_high_2",60.9644003,-138.4182925,2000,2020,21,"2000to2020","ndvi.max",0.00258,0.6162,0.2,0.23,0.054,8.8,"no_trend"
"76","kluane_high_20",60.9636218,-138.4170997,2000,2020,21,"2000to2020","ndvi.max",0.00138,0.5567,0.105,0.5376,0.029,5.2,"no_trend"
"77","kluane_high_21",60.9636358,-138.4165467,2000,2020,21,"2000to2020","ndvi.max",0.00118,0.7215,0.105,0.5376,0.025,3.5,"no_trend"
"78","kluane_high_22",60.9636498,-138.4159936,2000,2020,21,"2000to2020","ndvi.max",0.00194,0.6234,0.137,0.4173,0.041,6.6,"no_trend"
"79","kluane_high_23",60.9636639,-138.4154405,2000,2020,19,"2000to2020","ndvi.max",-1e-04,0.6703,-0.007,1,-0.002,-0.3,"no_trend"
"80","kluane_high_24",60.9636779,-138.4148875,2001,2020,20,"2000to2020","ndvi.max",-0.00057,0.4601,-0.018,0.9442,-0.012,-2.6,"no_trend"
"81","kluane_high_25",60.9636919,-138.4143344,2001,2020,20,"2000to2020","ndvi.max",0.00065,0.5413,0.041,0.8337,0.014,2.6,"no_trend"
"82","kluane_high_26",60.9637059,-138.4137814,2001,2020,20,"2000to2020","ndvi.max",0.00117,0.5479,0.123,0.4841,0.025,4.6,"no_trend"
"83","kluane_high_27",60.9632827,-138.4198361,2000,2020,21,"2000to2020","ndvi.max",0.00235,0.6695,0.221,0.1834,0.049,7.3,"no_trend"
