X,Y,sample.id,first.yr,last.yr,n.yr.obs,trend.period,si,slope,intercept,tau,pval,total.change,total.change.pcnt,trend.cat
-53.4666676,69.2982566,blaesedalen_71,2000,2020,"20",2000to2020,ndvi.max,-0.00324,0.7451,-0.298,0.0802,-0.068,-9.1,browning
-53.4659086,69.298241,blaesedalen_72,2000,2020,"20",2000to2020,ndvi.max,-0.00132,0.7349,-0.181,0.2939,-0.028,-3.8,no_trend
-53.4651496,69.2982255,blaesedalen_73,2000,2020,"20",2000to2020,ndvi.max,-0.00076,0.6978,-0.088,0.6243,-0.016,-2.3,no_trend
-53.4643907,69.29821,blaesedalen_74,2000,2020,"19",2000to2020,ndvi.max,0.00021,0.6007,0.007,1,0.004,0.7,no_trend
-53.4636317,69.2981945,blaesedalen_75,2000,2020,"20",2000to2020,ndvi.max,-0.00137,0.7649,-0.135,0.4415,-0.029,-3.8,no_trend
-53.4628727,69.298179,blaesedalen_76,2000,2020,"20",2000to2020,ndvi.max,-0.00012,0.6647,-0.041,0.8337,-0.003,-0.5,no_trend
-53.4621138,69.2981634,blaesedalen_77,2000,2020,"21",2000to2020,ndvi.max,0.00048,0.4516,0.021,0.9225,0.01,2.2,no_trend
-53.4697473,69.29805,blaesedalen_78,2000,2020,"20",2000to2020,ndvi.max,-0.00059,0.6543,-0.088,0.6243,-0.012,-1.8,no_trend
-53.4689883,69.2980345,blaesedalen_79,2000,2020,"20",2000to2020,ndvi.max,-0.00097,0.7338,-0.099,0.5756,-0.02,-2.7,no_trend
-53.4664045,69.2998677,blaesedalen_8,2000,2020,"20",2000to2020,ndvi.max,-0.00301,0.6101,-0.251,0.1417,-0.063,-10.3,no_trend
-53.4682294,69.298019,blaesedalen_80,2000,2020,"20",2000to2020,ndvi.max,-0.00016,0.5915,-0.029,0.8887,-0.003,-0.5,no_trend
-53.4674704,69.2980035,blaesedalen_81,2000,2020,"20",2000to2020,ndvi.max,-0.00072,0.816,-0.088,0.6243,-0.015,-1.8,no_trend
-53.4667114,69.297988,blaesedalen_82,2000,2020,"20",2000to2020,ndvi.max,-0.00157,0.7476,-0.099,0.5756,-0.033,-4.4,no_trend
-53.4659525,69.2979725,blaesedalen_83,2000,2020,"20",2000to2020,ndvi.max,-0.00165,0.7278,-0.181,0.2939,-0.035,-4.8,no_trend
-53.4651935,69.297957,blaesedalen_84,2000,2020,"20",2000to2020,ndvi.max,-0.00131,0.7686,-0.135,0.4415,-0.028,-3.6,no_trend
-53.4644345,69.2979415,blaesedalen_85,2000,2020,"20",2000to2020,ndvi.max,-0.00135,0.714,-0.205,0.2342,-0.028,-3.9,no_trend
-53.4636756,69.297926,blaesedalen_86,2000,2020,"20",2000to2020,ndvi.max,-0.00171,0.7213,-0.24,0.1617,-0.036,-5,no_trend
-53.4629166,69.2979104,blaesedalen_87,2000,2020,"20",2000to2020,ndvi.max,-0.00066,0.6022,-0.053,0.7796,-0.014,-2.3,no_trend
-53.4621576,69.2978949,blaesedalen_88,2000,2020,"20",2000to2020,ndvi.max,-0,0.5805,-0.006,1,-0,-0,no_trend
-53.4697911,69.2977815,blaesedalen_89,2000,2020,"20",2000to2020,ndvi.max,-0.00211,0.591,-0.205,0.2342,-0.044,-7.4,no_trend
-53.4656455,69.2998522,blaesedalen_9,2000,2020,"20",2000to2020,ndvi.max,-0.00202,0.5799,-0.24,0.1617,-0.042,-7.2,no_trend
-53.4690321,69.297766,blaesedalen_90,2000,2020,"20",2000to2020,ndvi.max,-0.00021,0.6082,-0.029,0.8887,-0.004,-0.7,no_trend
-53.4682732,69.2977505,blaesedalen_91,2000,2020,"20",2000to2020,ndvi.max,-0.00212,0.7265,-0.263,0.1237,-0.045,-6.2,no_trend
-53.4675142,69.297735,blaesedalen_92,2000,2020,"20",2000to2020,ndvi.max,-0.00473,0.4853,-0.485,0.0041,-0.099,-20.4,browning
-53.4667553,69.2977195,blaesedalen_93,2000,2020,"20",2000to2020,ndvi.max,-0.00076,0.6316,-0.111,0.5289,-0.016,-2.5,no_trend
-53.4659963,69.297704,blaesedalen_94,2000,2020,"20",2000to2020,ndvi.max,-0.0004,0.7232,-0.064,0.7264,-0.008,-1.1,no_trend
-53.4652374,69.2976885,blaesedalen_95,2000,2020,"20",2000to2020,ndvi.max,0.00076,0.6014,0.088,0.6243,0.016,2.7,no_trend
-53.4644784,69.297673,blaesedalen_96,2000,2020,"20",2000to2020,ndvi.max,-0.00334,0.781,-0.31,0.0689,-0.07,-9,browning
-53.4637194,69.2976574,blaesedalen_97,2000,2020,"20",2000to2020,ndvi.max,-0.00161,0.7185,-0.135,0.4415,-0.034,-4.7,no_trend
-53.4629605,69.2976419,blaesedalen_98,2000,2020,"20",2000to2020,ndvi.max,0.00033,0.7313,0.053,0.7796,0.007,1,no_trend
-53.4698349,69.297513,blaesedalen_99,2000,2020,"19",2000to2020,ndvi.max,-0.00248,0.605,-0.32,0.069,-0.052,-8.6,browning
