X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-18,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,2022-11-08,id
314945,6763745,-0.0134234961647154,-0.011801730920535,-0.0814592125802162,-0.0693160813308688,0.401071366856748,0.0991797166293811,0.481327800829876,0.460953697304768,0.48236069897791,0.253818181818182,0.23059866962306,-0.0480943738656987,-0.0472762179025678,-0.124303368063969,"22"
314955,6763745,-0.0113504514957373,-0.0126682501979414,-0.0847142275713704,-0.0633608815426997,0.382724719101124,0.0870363569592361,0.505945402780104,0.486616334934798,0.513091559603188,0.273722627737226,0.228252788104089,-0.0463266261113711,-0.0502958579881657,-0.0763110307414105,"23"
314965,6763745,-0.0101347927434884,-0.0118670886075949,-0.0820357889844295,-0.06999306999307,0.376572744993798,0.097841726618705,0.528323324135692,0.519410977242303,0.54002541296061,0.285662431941924,0.240235814296242,-0.0381125226860254,-0.0549888031848719,-0.0668596237337192,"24"
314975,6763745,-0.00966280825364872,-0.0129259694477086,-0.0782961460446247,-0.0711678832116788,0.395509499136442,0.133941093969144,0.531806615776081,0.532137030995106,0.551058241928009,0.28141225337487,0.247960269599149,-0.0468156895824547,-0.0523283725396063,-0.0515621031242062,"25"
314985,6763745,-0.00920260657613292,-0.0120201628538193,-0.0776438324858596,-0.0670897552130553,0.427070980857191,0.146542457900394,0.506853733268828,0.541040645263324,0.551492992078001,0.274590163934426,0.237113402061856,-0.0343990287333064,-0.0487916096671227,-0.0443443206070666,"26"
314995,6763745,-0.0108706202077065,-0.0138142747505756,-0.0824502748342495,-0.0697050938337802,0.421396628826969,0.140729709605361,0.468253968253968,0.506254114549045,0.520764770412161,0.300238014280857,0.25402811107302,-0.0328820116054159,-0.047008547008547,-0.0433212996389892,"27"
315005,6763745,-0.0152217074784911,-0.0139780884019645,-0.0822162645218946,-0.0697674418604651,0.365973934483973,0.128705148205928,0.428571428571429,0.44060253337898,0.47741935483871,0.327484393453687,0.288933736966028,-0.0409401061410159,-0.0395434162250306,-0.0533239370448673,"28"
315015,6763745,-0.012542003880922,-0.0154077414505825,-0.0829868617994346,-0.0660714285714286,0.374698379869011,0.140343862455018,0.439032583137387,0.412011906846437,0.458505197162184,0.324544666088465,0.291381668946648,-0.037984496124031,-0.0399002493765586,-0.0460351892022174,"29"
315025,6763745,-0.010224756160769,-0.0172026925953628,-0.0834437086092715,-0.0653623832814584,0.352401129943503,0.153027823240589,0.418332184700207,0.417421602787456,0.45,0.316969050160085,0.287059644227415,-0.0465922217943781,-0.0466190676186476,-0.0573895378364652,"30"
315035,6763745,-0.0094646136459952,-0.0160747663551402,-0.0830904591696453,-0.0680813439434129,0.367587541791307,0.136713995943205,0.43755368493386,0.438233264320221,0.482453263365038,0.300461156438453,0.267900803353126,-0.0390224674812771,-0.0444350402031316,-0.0448859455481972,"31"
315045,6763745,-0.0128670405806664,-0.0154309371471584,-0.0818222025652366,-0.0703472840605521,0.377002491990032,0.119621002763522,0.476492164054685,0.457428472940365,0.509916826615483,0.290322580645161,0.262289199856476,-0.0333863275039746,-0.0400674820750738,-0.0426495115558732,"32"
315055,6763745,-0.012421771287692,-0.0143504531722054,-0.083725305738476,-0.0739091718610864,0.382795698924731,0.122448979591837,0.487111698612029,0.463347164591978,0.510066033177645,0.28695652173913,0.25035765379113,-0.0334928229665072,-0.0446503791069924,-0.0310285853896897,"33"
315065,6763745,-0.0128223326236101,-0.0150602409638554,-0.0863978732831192,-0.0711111111111111,0.407407407407407,0.102318145483613,0.483015205435134,0.495564853556485,0.532316401949992,0.286950379657425,0.236096537250787,-0.0396856581532416,-0.0492217080353387,-0.0377684522340163,"34"
315075,6763745,-0.00983575697679891,-0.0139150056412185,-0.0848868175765646,-0.0668437361664453,0.421917808219178,0.0867865519937451,0.497292131251991,0.491167244510484,0.526431029089772,0.275764036958067,0.248336252189142,-0.0377062058130401,-0.0454928390901432,-0.0363503293486216,"35"
315085,6763745,-0.00858308709722808,-0.0135338345864662,-0.0847664484633307,-0.0720282810428635,0.430993557138013,0.0977845683728037,0.515468824369348,0.494694960212202,0.531649516682258,0.28101802757158,0.251048951048951,-0.0404354587869362,-0.0471464019851117,-0.037147102526003,"36"
