"";"id";"geometry";"ndvi.max";"ndvi.max.doy";"ndvi.pred.doy";"ndvi.max.date"
"793";793;c(639395, 7691595);0,428971797673769;225;177;1970-08-13
"794";794;c(639405, 7691595);0,389570737139468;225;177;1970-08-13
"795";795;c(639415, 7691595);0,388080536365868;227;177;1970-08-15
"796";796;c(639425, 7691595);0,413257846847724;225;177;1970-08-13
"797";797;c(639435, 7691595);0,468523470392398;226;177;1970-08-14
"798";798;c(639445, 7691595);0,488593767738573;229;177;1970-08-17
"799";799;c(639455, 7691595);0,484107578830674;228;177;1970-08-16
"800";800;c(639465, 7691595);0,514413059750197;226;177;1970-08-14
"801";801;c(639475, 7691595);0,526645834169302;228;177;1970-08-16
"802";802;c(639485, 7691595);0,497969764055008;228;177;1970-08-16
"803";803;c(639495, 7691595);0,481548748771308;226;177;1970-08-14
"804";804;c(639505, 7691595);0,487096766439177;227;177;1970-08-15
"805";805;c(639515, 7691595);0,493185574664682;227;177;1970-08-15
"806";806;c(639175, 7691585);0,362608679668486;233;177;1970-08-21
"807";807;c(639185, 7691585);0,338943529805456;230;177;1970-08-18
"808";808;c(639195, 7691585);0,357965149488817;233;177;1970-08-21
"809";809;c(639205, 7691585);0,365420540567976;230;177;1970-08-18
"810";810;c(639215, 7691585);0,376258021203722;227;177;1970-08-15
"811";811;c(639225, 7691585);0,382496249680768;228;177;1970-08-16
"812";812;c(639235, 7691585);0,409108135859667;229;177;1970-08-17
"813";813;c(639245, 7691585);0,431873091672812;231;177;1970-08-19
"814";814;c(639255, 7691585);0,41642345716406;231;177;1970-08-19
"815";815;c(639265, 7691585);0,36267461468454;231;177;1970-08-19
"816";816;c(639275, 7691585);0,326146340100628;229;177;1970-08-17
"817";817;c(639285, 7691585);0,359200791233673;225;177;1970-08-13
"818";818;c(639295, 7691585);0,40825106616437;227;177;1970-08-15
"819";819;c(639305, 7691585);0,412274929329335;225;177;1970-08-13
"820";820;c(639315, 7691585);0,449974386537755;226;177;1970-08-14
"821";821;c(639325, 7691585);0,483173035171331;226;177;1970-08-14
"822";822;c(639335, 7691585);0,487993359321208;226;177;1970-08-14
"823";823;c(639345, 7691585);0,489954079116266;227;177;1970-08-15
"824";824;c(639355, 7691585);0,459611153164752;226;177;1970-08-14
"825";825;c(639365, 7691585);0,428284263955034;224;177;1970-08-12
"826";826;c(639375, 7691585);0,424431722087661;223;177;1970-08-11
"827";827;c(639385, 7691585);0,440079379700218;225;177;1970-08-13
"828";828;c(639395, 7691585);0,431337101855389;228;177;1970-08-16
"829";829;c(639405, 7691585);0,380562919128489;228;177;1970-08-16
"830";830;c(639415, 7691585);0,362078926782942;226;177;1970-08-14
"831";831;c(639425, 7691585);0,374606545235577;222;177;1970-08-10
"832";832;c(639435, 7691585);0,425446320709759;224;177;1970-08-12
"833";833;c(639445, 7691585);0,48786113661315;228;177;1970-08-16
"834";834;c(639455, 7691585);0,527698644649438;228;177;1970-08-16
"835";835;c(639465, 7691585);0,537999738462324;227;177;1970-08-15
"836";836;c(639475, 7691585);0,534944441634477;227;177;1970-08-15
"837";837;c(639485, 7691585);0,509105723439748;229;177;1970-08-17
"838";838;c(639495, 7691585);0,484564647290736;227;177;1970-08-15
"839";839;c(639505, 7691585);0,480714769354555;226;177;1970-08-14
"840";840;c(639515, 7691585);0,469912855794473;227;177;1970-08-15
"841";841;c(639175, 7691575);0,328548190156784;230;177;1970-08-18
"842";842;c(639185, 7691575);0,306986194292521;229;177;1970-08-17
"843";843;c(639195, 7691575);0,321137658672355;230;177;1970-08-18
"844";844;c(639205, 7691575);0,366777506331993;228;177;1970-08-16
"845";845;c(639215, 7691575);0,40485006506813;229;177;1970-08-17
"846";846;c(639225, 7691575);0,410587989964345;229;177;1970-08-17
"847";847;c(639235, 7691575);0,429464079433381;231;177;1970-08-19
"848";848;c(639245, 7691575);0,407710600100516;231;177;1970-08-19
"849";849;c(639255, 7691575);0,367459894869549;230;177;1970-08-18
"850";850;c(639265, 7691575);0,342309168975277;228;177;1970-08-16
"851";851;c(639275, 7691575);0,335784845335904;227;177;1970-08-15
"852";852;c(639285, 7691575);0,343063611678093;226;177;1970-08-14
"853";853;c(639295, 7691575);0,381629907166999;227;177;1970-08-15
"854";854;c(639305, 7691575);0,41894508948564;226;177;1970-08-14
"855";855;c(639315, 7691575);0,452312582956498;227;177;1970-08-15
"856";856;c(639325, 7691575);0,474803348852697;227;177;1970-08-15
"857";857;c(639335, 7691575);0,477384887908512;227;177;1970-08-15
"858";858;c(639345, 7691575);0,471196760262398;225;177;1970-08-13
"859";859;c(639355, 7691575);0,45441863710515;225;177;1970-08-13
"860";860;c(639365, 7691575);0,434896795454698;225;177;1970-08-13
"861";861;c(639375, 7691575);0,423376049051534;223;177;1970-08-11
"862";862;c(639385, 7691575);0,436018864559536;228;177;1970-08-16
"863";863;c(639395, 7691575);0,426277118606289;229;177;1970-08-17
"864";864;c(639405, 7691575);0,389041239812254;228;177;1970-08-16
"865";865;c(639415, 7691575);0,373262071016114;224;177;1970-08-12
"866";866;c(639425, 7691575);0,373989334864164;223;177;1970-08-11
"867";867;c(639435, 7691575);0,388711201371974;224;177;1970-08-12
