X,Y,id,ndvi.max_p,ndvi.max.doy_p,ndvi.max_s,ndvi.max.doy_s,ndvi.max_b,ndvi.max.doy_b,snow.persist
639275,7691725,"326",0.416971395883593,228,0.404290782314396,"226",0.335846569691481,"344",3.75e-05
639285,7691725,"327",0.405402347576455,227,0.400012575144994,"227",0.388460513537682,"219",0
639295,7691725,"328",0.404022805443674,228,0.396157506908312,"227",0.393496068773887,"245",0
639305,7691725,"329",0.397758515289752,228,0.384285936304641,"226",0.381551351699823,"237",0
639315,7691725,"330",0.408977929284447,229,0.388396050828008,"227",0.380245729514423,"214",0
639325,7691725,"331",0.416134770857752,230,0.39453014821216,"228",0.472871622296206,"238",0.1240625
639335,7691725,"332",0.412792916999024,231,0.388545087632935,"229",0.375899926677539,"225",0.23350625
639345,7691725,"333",0.39166128315992,231,0.371619810434152,"230",0.393353219958045,"231",0.25005625
639355,7691725,"334",0.331739856665081,229,0.318774630233684,"229",0.313762349799845,"213",0.18443125
639365,7691725,"335",0.281153649782937,227,0.269350034005611,"226",0.26705753427302,"201",0.0127125
639375,7691725,"336",0.305488211975899,228,0.287411610589154,"224",0.291861471142308,"219",0.01550625
639385,7691725,"337",0.375192134342797,227,0.356558488284837,"224",0.435594414770951,"237",0.00080625
639395,7691725,"338",0.433180829917546,227,0.414196580797186,"225",0.420011067572636,"214",0.06220625
639405,7691725,"339",0.485525069845608,228,0.468747178472044,"227",0.467868594247341,"223",0.23948125
639415,7691725,"340",0.524478906299919,228,0.506577562964888,"226",0.509178393824028,"222",0.24991875
639425,7691725,"341",0.556204752778285,228,0.534389373367923,"226",0.532501315276252,"221",0.25
639435,7691725,"342",0.538022615131922,230,0.523152060957959,"228",0.525795052793735,"224",0.25025
639445,7691725,"343",0.528109137449064,231,0.524117955638734,"229",0.526892009140933,"223",0.25811875
639455,7691725,"344",0.514091812088736,230,0.516779982515448,"230",0.531850205017697,"226",0.2548375
639465,7691725,"345",0.471214394943672,231,0.482547820934148,"231",0.494134929343884,"224",0.25356875
639475,7691725,"346",0.42955514958885,230,0.433306741475839,"230",0.439492403385312,"222",0.25019375
639485,7691725,"347",0.428626134409569,230,0.421030336390267,"229",0.431068225489584,"224",0.25013125
639495,7691725,"348",0.4418666165584,230,0.440373931964652,"230",0.378429658868509,"216",
639505,7691725,"349",0.422453707928071,230,0.418741810874231,"229",0.445535199550608,"228",
639515,7691725,"350",0.439870835354668,229,0.42986934313031,"228",0.42951211180053,"223",
639175,7691715,"351",0.246574717268231,235,0.248033128655768,"235",0.26851324059771,"235",
639185,7691715,"352",0.254651596340409,236,0.268454787690761,"235",0.261728765475113,"236",
639195,7691715,"353",0.223119046677311,237,0.235936683603643,"236",0.229592014986383,"228",
639205,7691715,"354",0.21690947967727,236,0.226126916210886,"235",0.230192016036571,"234",
639215,7691715,"355",0.213529077678686,236,0.20106149145903,"232",0.246813769198623,"238",
639225,7691715,"356",0.247510002634954,236,0.242853911578525,"234",0.219849302572674,"205",
639235,7691715,"357",0.281791433728358,233,0.279281914316376,"230",0.27212752802232,"217",
639245,7691715,"358",0.334900503214158,229,0.333783281214432,"225",0.380312328362116,"228",0.01213125
639255,7691715,"359",0.351005316530063,226,0.359579582046965,"228",0.362259330312554,"224",0.01385625
639265,7691715,"360",0.340208542591427,228,0.346960099850569,"230",0.367860669139644,"249",0.0487748756218905
639275,7691715,"361",0.355621166090714,229,0.360638552643059,"230",0.38794267072655,"250",0.10171875
639285,7691715,"362",0.382074481749441,231,0.375837022544572,"229",0.384395114817373,"268",0.0589375
639295,7691715,"363",0.388498553526006,231,0.39130156618582,"230",0.543214205370432,"252",0.0484875
639305,7691715,"364",0.377827833064657,229,0.379409783965072,"228",0.398079886512166,"245",0.01061875
639315,7691715,"365",0.426285101821122,229,0.40165773779685,"224",0.394497683497005,"210",0.02579375
639325,7691715,"366",0.458407780344714,230,0.428874309019601,"226",0.420893009414304,"215",0.1729
639335,7691715,"367",0.456098002381623,230,0.433988598568299,"229",0.409124148833428,"238",0.2487375
639345,7691715,"368",0.44011726284225,230,0.423764260154544,"229",0.415991898184675,"204",0.2396875
639355,7691715,"369",0.398715063471172,231,0.382139578230368,"231",0.408763753346347,"233",0.1793125
639365,7691715,"370",0.3434518537033,231,0.323141874505993,"229",0.314345863461944,"218",6.25e-05
639375,7691715,"371",0.338140582331107,227,0.319748156511383,"223",0.343897626084518,"223",0.001825
639385,7691715,"372",0.380224244298006,226,0.365885903341575,"224",0.47496631366704,"241",0.00679375
639395,7691715,"373",0.411591672862414,227,0.397285232985713,"226",0.406083558029688,"222",0.11995625
639405,7691715,"374",0.442265415607835,227,0.427092753311864,"226",0.422228483848232,"217",0.21414375
639415,7691715,"375",0.481290520096081,227,0.467101486949021,"226",0.47164682640559,"223",0.25
639425,7691715,"376",0.511610422210651,229,0.50411861577738,"228",0.49704485719828,"221",0.25
639435,7691715,"377",0.493108586699236,230,0.498355908348504,"229",0.500228363870005,"236",0.25425625
639445,7691715,"378",0.471362944575958,231,0.485711111649638,"230",0.491230565461332,"224",0.26716875
639455,7691715,"379",0.458456105363439,229,0.473622753878627,"229",0.486696524524073,"225",0.27261875
639465,7691715,"380",0.458067664862028,230,0.473951515531936,"230",0.479258166880111,"230",0.2711625
639475,7691715,"381",0.459402725304244,229,0.468692487440067,"228",0.571009564371152,"236",0.25729375
639485,7691715,"382",0.472938001083094,228,0.477984264382056,"228",0.50161451284005,"227",0.2508375
639495,7691715,"383",0.461476673721336,230,0.468754186339357,"230",0.480285491017868,"227",
639505,7691715,"384",0.417242241528584,230,0.424210270077353,"230",0.437796419286193,"226",
639515,7691715,"385",0.367706095508765,230,0.370229862368943,"230",0.381559393500895,"228",
639175,7691705,"386",0.407733700092649,232,0.390412514691846,"231",0.385484827559108,"239",
639185,7691705,"387",0.376497305464,231,0.36953165362371,"230",0.384188542789122,"241",
639195,7691705,"388",0.350754708546447,232,0.340834622031541,"231",0.348627165886288,"237",
639205,7691705,"389",0.342093487284728,231,0.333639282293504,"230",0.333890789044326,"228",
639215,7691705,"390",0.295255724195158,229,0.28471050058847,"227",0.284800775507495,"229",
639225,7691705,"391",0.234638671819994,232,0.236346426770711,"232",0.248804901023884,"239",
639235,7691705,"392",0.188889178465615,235,0.197169823541555,"234",0.193540450001699,"231",
639245,7691705,"393",0.204935697769542,237,0.21096498359262,"235",0.199070719931737,"233",0.30198125
639255,7691705,"394",0.229024195388774,235,0.235103906836879,"233",0.23208162383189,"236",0.2536625
639265,7691705,"395",0.263213143472967,236,0.259933575161918,"233",0.252133485180512,"227",0.339751243781095
639275,7691705,"396",0.290778994371067,233,0.291528589980843,"232",0.280076302454344,"205",0.344975
639285,7691705,"397",0.333491355486331,234,0.330013089468561,"231",0.378981256419046,"245",0.3520375
639295,7691705,"398",0.387464925239328,235,0.381630392682183,"233",0.358685537424756,"215",0.34481875
639305,7691705,"399",0.386369424253644,235,0.391546645347486,"234",0.470511444242592,"234",0.37409375
639315,7691705,"400",0.410899090536986,236,0.416045999122644,"234",0.409236715033395,"223",0.335425
639325,7691705,"401",0.464422507793643,233,0.45646822260209,"231",0.451827499276021,"223",0.27744375
639335,7691705,"402",0.47795622353442,232,0.45718823605733,"229",0.46144470670176,"240",0.18284375
639345,7691705,"403",0.44854899297934,229,0.430136264069123,"228",0.439421867359865,"223",0.096275
