"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"71","kluane_low_22",60.9691112,-138.4132521,2000,2020,21,"2000to2020","ndvi.max",-0.00028,0.6315,-0.032,0.8711,-0.006,-1,"no_trend"
"72","kluane_low_23",60.9691252,-138.4126989,2000,2020,21,"2000to2020","ndvi.max",0.00021,0.5977,0.021,0.9225,0.004,0.7,"no_trend"
"73","kluane_low_24",60.9691392,-138.4121458,2000,2020,21,"2000to2020","ndvi.max",0.00034,0.7527,0.063,0.7212,0.007,0.9,"no_trend"
"74","kluane_low_25",60.9691532,-138.4115926,2000,2020,21,"2000to2020","ndvi.max",-0.00105,0.9318,-0.158,0.3468,-0.022,-2.4,"no_trend"
"75","kluane_low_26",60.9691673,-138.4110395,2000,2020,21,"2000to2020","ndvi.max",-0.00104,0.4933,-0.211,0.2058,-0.022,-4.5,"no_trend"
"76","kluane_low_27",60.9687301,-138.4176484,2000,2020,20,"2000to2020","ndvi.max",0.00138,0.6227,0.158,0.363,0.029,4.7,"no_trend"
"77","kluane_low_28",60.9687441,-138.4170952,2000,2020,21,"2000to2020","ndvi.max",0.00276,0.5846,0.263,0.1119,0.058,9.9,"no_trend"
"78","kluane_low_29",60.9687582,-138.4165421,2000,2020,21,"2000to2020","ndvi.max",0.00251,0.6673,0.253,0.1273,0.053,7.9,"no_trend"
"79","kluane_low_3",60.9692959,-138.4165998,2000,2020,21,"2000to2020","ndvi.max",0.00156,0.7333,0.211,0.2058,0.033,4.5,"no_trend"
"80","kluane_low_30",60.9687722,-138.415989,2000,2020,21,"2000to2020","ndvi.max",0.00054,0.4832,0.116,0.4957,0.011,2.3,"no_trend"
"81","kluane_low_31",60.9687862,-138.4154358,2000,2020,21,"2000to2020","ndvi.max",0.00057,0.6763,0.137,0.4173,0.012,1.8,"no_trend"
"82","kluane_low_32",60.9688003,-138.4148827,2000,2020,21,"2000to2020","ndvi.max",0.00071,0.5591,0.105,0.5376,0.015,2.7,"no_trend"
"83","kluane_low_33",60.9688143,-138.4143295,2001,2020,20,"2000to2020","ndvi.max",0.00096,0.5995,0.088,0.6243,0.02,3.3,"no_trend"
"84","kluane_low_34",60.9688283,-138.4137764,2000,2020,21,"2000to2020","ndvi.max",2e-04,0.596,0.032,0.8711,0.004,0.7,"no_trend"
"85","kluane_low_35",60.9688423,-138.4132232,2000,2020,21,"2000to2020","ndvi.max",-0.00046,0.6536,-0.063,0.7212,-0.01,-1.5,"no_trend"
"86","kluane_low_36",60.9688564,-138.4126701,2000,2020,21,"2000to2020","ndvi.max",0.00014,0.6427,0.042,0.8203,0.003,0.5,"no_trend"
"87","kluane_low_37",60.9688704,-138.4121169,2000,2020,21,"2000to2020","ndvi.max",8e-05,0.4519,0.021,0.9225,0.002,0.4,"no_trend"
"88","kluane_low_38",60.9688844,-138.4115638,2000,2020,21,"2000to2020","ndvi.max",-0.00109,0.8462,-0.189,0.2561,-0.023,-2.7,"no_trend"
"89","kluane_low_39",60.9688984,-138.4110106,2000,2020,21,"2000to2020","ndvi.max",-0.00088,0.8027,-0.253,0.1273,-0.018,-2.2,"no_trend"
"90","kluane_low_4",60.9693099,-138.4160467,2000,2020,21,"2000to2020","ndvi.max",0.00029,0.6911,0,1,0.006,0.9,"no_trend"
"91","kluane_low_43",60.9685033,-138.4159601,2000,2020,21,"2000to2020","ndvi.max",-0.00075,0.7775,-0.095,0.5813,-0.016,-2.1,"no_trend"
"92","kluane_low_44",60.9685174,-138.4154069,2000,2020,21,"2000to2020","ndvi.max",0.00041,0.6659,0.084,0.6265,0.009,1.4,"no_trend"
"93","kluane_low_45",60.9685314,-138.4148538,2000,2020,21,"2000to2020","ndvi.max",0.00134,0.5782,0.137,0.4173,0.028,4.8,"no_trend"
"94","kluane_low_46",60.9685454,-138.4143007,2001,2020,20,"2000to2020","ndvi.max",0.00066,0.3517,0.111,0.5289,0.014,4,"no_trend"
"95","kluane_low_47",60.9685595,-138.4137475,2000,2020,21,"2000to2020","ndvi.max",0.00123,0.5986,0.105,0.5376,0.026,4.3,"no_trend"
"96","kluane_low_48",60.9685735,-138.4131944,2000,2020,21,"2000to2020","ndvi.max",-0.00076,0.5595,-0.095,0.5813,-0.016,-2.9,"no_trend"
"97","kluane_low_49",60.9685875,-138.4126412,2000,2020,21,"2000to2020","ndvi.max",0.00036,0.704,0.042,0.8203,0.008,1.1,"no_trend"
"98","kluane_low_5",60.969324,-138.4154935,2000,2020,21,"2000to2020","ndvi.max",-0.00021,0.5903,-0.032,0.8711,-0.004,-0.7,"no_trend"
"99","kluane_low_50",60.9686015,-138.4120881,2000,2020,21,"2000to2020","ndvi.max",-0.00138,0.6442,-0.126,0.4555,-0.029,-4.5,"no_trend"
"100","kluane_low_51",60.9686155,-138.4115349,2000,2020,21,"2000to2020","ndvi.max",-7e-04,0.6133,-0.105,0.5376,-0.015,-2.4,"no_trend"
"101","kluane_low_52",60.9686295,-138.4109818,2000,2020,21,"2000to2020","ndvi.max",-0.00096,0.595,-0.232,0.163,-0.02,-3.4,"no_trend"
"102","kluane_low_53",60.9681924,-138.4175906,2000,2020,21,"2000to2020","ndvi.max",0.00094,0.8321,0.116,0.4957,0.02,2.4,"no_trend"
"103","kluane_low_54",60.9682064,-138.4170375,2000,2020,20,"2000to2020","ndvi.max",-4e-04,0.7612,-0.041,0.8337,-0.008,-1.1,"no_trend"
"104","kluane_low_56",60.9682345,-138.4159312,2000,2020,21,"2000to2020","ndvi.max",0.00094,0.9036,0.116,0.4957,0.02,2.2,"no_trend"
"105","kluane_low_57",60.9682485,-138.4153781,2000,2020,21,"2000to2020","ndvi.max",0.00191,0.8277,0.158,0.3468,0.04,4.8,"no_trend"
"106","kluane_low_58",60.9682625,-138.4148249,2000,2020,21,"2000to2020","ndvi.max",0.00107,0.6292,0.116,0.4957,0.022,3.5,"no_trend"
"107","kluane_low_59",60.9682766,-138.4142718,2000,2020,21,"2000to2020","ndvi.max",-0.00011,0.7327,-0.011,0.9741,-0.002,-0.3,"no_trend"
"108","kluane_low_6",60.969338,-138.4149404,2001,2020,20,"2000to2020","ndvi.max",0.00098,0.7236,0.088,0.6243,0.021,2.9,"no_trend"
"109","kluane_low_60",60.9682906,-138.4137187,2000,2020,21,"2000to2020","ndvi.max",0.00148,0.4618,0.284,0.0855,0.031,6.7,"greening"
"110","kluane_low_61",60.9683046,-138.4131655,2000,2020,21,"2000to2020","ndvi.max",0.00048,0.5974,0.032,0.8711,0.01,1.7,"no_trend"
"111","kluane_low_62",60.9683186,-138.4126124,2001,2020,20,"2000to2020","ndvi.max",0.00077,0.4214,0.123,0.4841,0.016,3.8,"no_trend"
"112","kluane_low_63",60.9683327,-138.4120593,2001,2020,20,"2000to2020","ndvi.max",-0.00013,0.4478,-0.018,0.9442,-0.003,-0.7,"no_trend"
"113","kluane_low_64",60.9683467,-138.4115061,2000,2020,21,"2000to2020","ndvi.max",-0.00135,0.6538,-0.084,0.6265,-0.028,-4.3,"no_trend"
"114","kluane_low_65",60.9683607,-138.410953,2000,2020,21,"2000to2020","ndvi.max",-0.00106,0.6605,-0.168,0.3145,-0.022,-3.3,"no_trend"
"115","kluane_low_66",60.9679235,-138.4175617,2000,2020,21,"2000to2020","ndvi.max",0.00018,0.7965,0.011,0.9741,0.004,0.5,"no_trend"
"116","kluane_low_67",60.9679376,-138.4170086,2000,2020,21,"2000to2020","ndvi.max",0,0.9093,0,1,0,0,"no_trend"
"117","kluane_low_68",60.9679516,-138.4164555,2000,2020,21,"2000to2020","ndvi.max",-0.00034,0.63,-0.011,0.9741,-0.007,-1.1,"no_trend"
"118","kluane_low_69",60.9679656,-138.4159024,2000,2020,21,"2000to2020","ndvi.max",0.00096,0.6976,0.137,0.4173,0.02,2.9,"no_trend"
"119","kluane_low_7",60.969352,-138.4143872,2000,2020,21,"2000to2020","ndvi.max",8e-05,0.7389,0.011,0.9741,0.002,0.3,"no_trend"
