X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id,2022-10-07,2022-10-10,2022-12-13
315385,6764195,-0.0120859225913784,-0.0147895335608646,-0.0894067096347711,-0.0735009671179884,0.447285464098074,0.493730938664859,0.466619064619779,0.48397051260072,0.25508607198748,0.245401174168297,-0.0287539936102236,-0.0249520153550864,"69",0,0,0
315395,6764195,-0.014948859166011,-0.0138036809815951,-0.0879928714635776,-0.0708353688324377,0.491997216423104,0.53979353979354,0.507246376811594,0.510857956568174,0.236363636363636,0.206270627062706,0.00118764845605701,-0.00129198966408269,"70",0,0,0
315055,6764185,-0.0122999005155105,-0.0200148257968866,-0.083717149823896,-0.0413761041376104,0.501274859765426,0.537100068073519,0.550913838120104,0.551286225985021,0.264299065420561,0.222390317700454,-0.00291699814372845,-0.00674974039460021,"71",0,0,0
315065,6764185,-0.0099009900990099,-0.0186846038863976,-0.0844212358572672,-0.0663605051664753,0.465267727930535,0.513129879347055,0.519718309859155,0.521601685985248,0.244826239750098,0.205576281170234,-0.012316715542522,0.0102447353443369,"72",0,0,0
315075,6764185,-0.0110643025785843,-0.0153156518490848,-0.0839519650655022,-0.0463162946964243,0.481948825797406,0.523097826086957,0.530159821275133,0.529070758738278,0.253093363329584,0.203995389934691,0.0216867469879518,-0.0202210838500944,"73",0,0,0
315085,6764185,-0.013092677452539,-0.0192235205427818,-0.0837508947745168,-0.0683060109289618,0.488925619834711,0.54154090548054,0.56066411238825,0.555204049351471,0.247093023255814,0.215657847046031,-0.047926267281106,0.00322180916976456,"74",0,0,0
315095,6764185,-0.0137522681692293,-0.0193842645381984,-0.086968695749566,-0.063800594557512,0.476034143138542,0.532418952618454,0.525921095533094,0.534471853257432,0.250090220137135,0.227737226277372,-0.0262697022767075,-0.0447901933050448,"75",0,0,0
315105,6764185,-0.0129767990562328,-0.017014694508894,-0.08147315153219,-0.0662957811775614,0.468648998060763,0.500482160077146,0.511039484286865,0.523750580225901,0.246132208157525,0.214793741109531,-0.0556232237109216,-0.0433628318584071,"76",0,0,0
315115,6764185,-0.013829469704507,-0.016380655226209,-0.0837919101378567,-0.0642285714285714,0.497808390732624,0.542124542124542,0.550444648880711,0.54718118782032,0.245991129307404,0.210762331838565,-0.038950389503895,-0.0570544007076515,"77",0,0,0
315125,6764185,-0.0110370885950085,-0.0133437990580848,-0.0837348015599908,-0.0576923076923077,0.506239140736061,0.564530822957789,0.5716431360769,0.567559567855557,0.254861821903787,0.221993127147766,-0.0503956684714702,-0.0385650224215247,"78",0,0,0
315135,6764185,-0.0125366494793246,-0.0137524557956778,-0.0833957696962711,-0.0568841420942651,0.490336202696118,0.555901588290252,0.567814690643097,0.574258900640548,0.256728778467909,0.220233998623538,-0.0480098481739844,-0.0501792114695341,"79",0,0,0
315145,6764185,-0.011686143572621,-0.0146418678274634,-0.0843179067488906,-0.0613185799907792,0.494163424124514,0.536945812807882,0.568555758683729,0.57185450208706,0.257241379310345,0.221342512908778,-0.0354019158683882,-0.0493716337522442,"80",0,0,0
315155,6764185,-0.00998285771906827,-0.0177374852187623,-0.0827274288658613,-0.0614886731391586,0.509816339455352,0.537878787878788,0.573651609004381,0.573538098050797,0.255304585900068,0.215940054495913,-0.034340091021928,-0.0512589928057554,"81",0,0,0
315165,6764185,-0.0142566191446029,-0.016548463356974,-0.0828494221813373,-0.0614525139664804,0.520691785052502,0.557901177910356,0.572115384615385,0.571053399474759,0.243828204261075,0.212571814802298,-0.0397022332506203,-0.0506666666666667,"82",0,0,0
315175,6764185,-0.0101743442916305,-0.0161100196463654,-0.0842863677950595,-0.0624120131393712,0.520073551946062,0.563427187405389,0.570026761819804,0.566539923954373,0.244383934649421,0.211893369788107,-0.0411300373909431,-0.0536109880372175,"83",0,0,0
315185,6764185,-0.0151106588654286,-0.0149724192277384,-0.0845134764732755,-0.0615492628130119,0.499684940138626,0.553243574051408,0.561864278123577,0.561933085501859,0.257493188010899,0.224715222644115,-0.0372188139059305,-0.0467706013363029,"84",0,0,0
315195,6764185,-0.0125560990368615,-0.0152881223049784,-0.0871478370192582,-0.0621363742145683,0.485312899106003,0.552773914387266,0.545341614906832,0.547008547008547,0.260311020960108,0.226447413497773,-0.0453441295546559,-0.0418686646099603,"85",0,0,0
315205,6764185,-0.00847115772488907,-0.0163934426229508,-0.0823182822502974,-0.0635031402651779,0.46901200065757,0.526688102893891,0.511053315994798,0.518506801645049,0.258255126868266,0.229852838121934,-0.0479645304312777,-0.0499337163057888,"86",0,0,0
315215,6764185,-0.0109043617446979,-0.0163297045101089,-0.0832579185520362,-0.0611670963206,0.451125293920054,0.503409279893564,0.490566037735849,0.49738219895288,0.261702127659574,0.240215439856373,-0.0372229192806357,-0.0413149711239449,"87",0,0,0
315225,6764185,-0.00920169112161154,-0.0150753768844221,-0.085225032388892,-0.0663540445486518,0.468149646107179,0.517126148705096,0.510204081632653,0.514762516046213,0.263494318181818,0.235167977126519,-0.0343347639484979,-0.0426019239578562,"88",0,0,0
315235,6764185,-0.00767831885229339,-0.0152403282532239,-0.0822220961243829,-0.0619718309859155,0.475062972292191,0.55768005098789,0.508315494813107,0.526070912883042,0.259848211058909,0.231386861313869,-0.0383959044368601,-0.0462400747314339,"89",0,0,0
315245,6764185,-0.00816326530612245,-0.0181531176006314,-0.0797524922653833,-0.0575793184488837,0.457868020304569,0.563277016257571,0.497906548316865,0.507737416517348,0.235538752362949,0.231174698795181,-0.049645390070922,-0.0432692307692308,"90",0,0,0
315255,6764185,-0.0111312451462594,-0.0142970611596505,-0.0817021768000462,-0.0620300751879699,0.469088485252458,0.564561734213007,0.523375142531357,0.525587383327969,0.260588126502682,0.21875,-0.0378681626928471,-0.0331991951710262,"91",0,0,0
315265,6764185,-0.0115096774193548,-0.0131317150815758,-0.0840679919331605,-0.0614734866259972,0.501470107807906,0.575570635410241,0.57429718875502,0.572439249461704,0.263157894736842,0.214050493962678,-0.0446511627906977,-0.0449148167268973,"92",0,0,0
315275,6764185,-0.0085434894493052,-0.0189423835832676,-0.0846832305297746,-0.0531838778917243,0.515248796147673,0.588395285584769,0.588950608016814,0.594339622641509,0.258075967341143,0.209989447766444,-0.0427807486631016,-0.0499258526940188,"93",0,0,0
