site,weights,dist,aic,loglike,sig2,walds,waldp,lograts,logratp
kl,equal,50,-2731.52660702925,1369.763303514625,8.856743685303383e-4,11744.480110423792,0,614.093131663938,0
bl,idw,50,-2767.5895443080026,1387.7947721540013,0.0019657611081793022,81133.75478561831,0,824.443742007546,0
kh,idw,50,-5473.578237439609,2740.7891187198047,5.42432981986421e-4,129117.87408083814,0,935.2583744663607,0
kl,idw,50,-2870.4436165763095,1439.2218082881548,7.147886861086224e-4,99483.50412842358,0,753.0101412109975,0
bl,equal,60,-2641.324782892809,1324.6623914464044,0.002317789783695241,12353.465536754255,0,698.1789805923522,0
kh,equal,60,-5021.262100139611,2514.6310500698055,8.09480351703883e-4,1743.757595357156,0,482.94223716636225,0
kl,equal,60,-2638.808334295006,1323.404167147503,0.0010293417580066072,8521.110856371484,0,521.3748589296938,0
bl,idw,60,-2706.824307796071,1357.4121538980355,0.0021345396201685194,74408.79574173031,0,763.6785054956144,0
kh,idw,60,-5353.418026659883,2680.7090133299416,6.060999552483271e-4,114192.02657213723,0,815.0981636866345,0
kl,idw,60,-2792.087989726649,1400.0439948633245,8.121567818442826e-4,87186.77965188115,0,674.6545143613371,0
bl,equal,70,-2617.2411644204985,1312.6205822102493,0.002397706322519754,20245.247375646897,0,674.095362120042,0
kh,equal,70,-4935.817024855661,2471.9085124278304,8.755116701283178e-4,928.0888083123799,0,397.497161882412,0
kl,equal,70,-2571.366400854645,1289.6832004273224,0.001147258615776271,6288.685539254541,0,453.9329254893328,0
bl,idw,70,-2669.7622673598507,1338.8811336799254,0.0022445511396106993,73917.29807765424,0,726.6164650593942,0
kh,idw,70,-5267.37535180676,2637.68767590338,6.556653449753706e-4,103651.45393607872,0,729.0554888335109,0
kl,idw,70,-2735.0076276436375,1371.5038138218188,8.90463811338698e-4,79218.48282456184,0,617.5741522783255,0
bl,equal,80,-2602.624065301118,1305.312032650559,0.002449111362602318,37243.32670444186,0,659.4782630006616,0
kh,equal,80,-4878.090014163684,2443.045007081842,9.227116624541151e-4,749.4218231714044,0,339.7701511904352,0
kl,equal,80,-2516.317401294983,1262.1587006474915,0.0012529780459267685,4895.870328588264,0,398.883925929671,0
bl,idw,80,-2641.531016858276,1324.765508429138,0.002332115291991718,76579.189146482,0,698.3852145578194,0
kh,idw,80,-5194.783971850062,2601.391985925031,7.003404526013539e-4,94187.72632294455,0,656.464108876813,0
kl,idw,80,-2685.474311033655,1346.7371555168274,9.639737106506713e-4,73035.17574438431,0,568.0408356683429,0
bl,equal,90,-2582.8370436401356,1295.4185218200678,0.002514677919068067,58301.965702944275,0,639.691241339679,0
kh,equal,90,-4839.274317580383,2423.6371587901913,9.554269475906664e-4,860.7885030931773,0,300.9544546071338,0
kl,equal,90,-2467.1274462873525,1237.5637231436763,0.0013545129588435417,3744.3945591104402,0,349.69397092204053,0
bl,idw,90,-2618.9202284429994,1313.4601142214997,0.002403551698508105,78853.26072912275,0,675.7744261425428,0
kh,idw,90,-5138.793351730761,2573.3966758653805,7.366097174901306e-4,86417.58224210315,0,600.4734887575123,0
kl,idw,90,-2642.2720596480303,1325.1360298240152,0.0010322715682850032,65996.16609220783,0,524.8385842827183,0
bl,equal,100,-2555.2810911893,1281.64054559465,0.0026046065128971668,77070.44058507924,0,612.1352888888432,0
