X,Y,2022-04-04,2022-05-12,2022-05-29,2022-06-08,2022-07-08,2022-07-21,2022-07-26,2022-08-12,2022-09-16,2022-09-24,2022-09-29,2022-10-06,id,2022-11-26,2022-11-28,2022-12-13
315135,6763635,-0.00908340214698596,-0.0137318255250404,-0.0778386098547965,-0.0642117376294591,0.321266968325792,0.472401184050148,0.474117243743572,0.502223686377862,0.289936664320901,0.245376955903272,-0.0227088402270884,-0.0471452262497039,"31",0,0,0
315145,6763635,-0.0113440326206284,-0.0131526504583499,-0.0793501295031787,-0.0673550809669092,0.317107093184979,0.47737635917222,0.462365591397849,0.504072987943956,0.294077134986226,0.258031788975313,-0.0363423212192263,-0.0280777537796976,"32",0,0,0
315155,6763635,-0.0117585576169323,-0.0128354725787631,-0.0797602581834947,-0.0635404454865182,0.36280977001248,0.490595886799086,0.467248908296943,0.508714238737258,0.319291206954196,0.285163776493256,-0.0350813743218807,-0.0121903263861581,"33",0,0,0
315165,6763635,-0.00862422997946612,-0.0131375579598145,-0.0752688172043011,-0.0642458100558659,0.402625044341965,0.485557083906465,0.48914858096828,0.493704440026508,0.307059629883482,0.269484808454425,-0.029940119760479,-0.0446215139442231,"34",0,0,0
315175,6763635,-0.0111562387537916,-0.00981546917942678,-0.0767807585568918,-0.0671641791044776,0.425271263563178,0.518731015862302,0.495073054706082,0.500828637719589,0.286494357480888,0.250089960417416,-0.0354430379746835,-0.0441913439635535,"35",0,0,0
315185,6763635,-0.0120634251698888,-0.0142970611596505,-0.0778986561172843,-0.0667293233082707,0.454291207830799,0.586714710950964,0.533706017757317,0.557271557271557,0.275919423396784,0.248053392658509,-0.0364485981308411,-0.0450177035913,"36",0,0,0
315195,6763635,-0.0105442539141549,-0.0114308238076468,-0.0765486469258851,-0.0629436819687648,0.451436388508892,0.583647798742138,0.522518159806295,0.554413825315273,0.271192660550459,0.243204059441827,-0.0353151542244077,-0.0435679298788348,"37",0,0,0
315205,6763635,-0.0089628681177977,-0.00862745098039216,-0.0793888728740271,-0.0703694987055778,0.397278911564626,0.524861878453039,0.444793908293329,0.478176527643065,0.279234585400425,0.261355695317959,-0.0308219178082192,-0.0530745849894786,"38",0,0,0
315215,6763635,-0.0121075528067509,-0.0113325517780383,-0.0800757706216635,-0.0723285114325712,0.383132530120482,0.507751262846194,0.43245078071962,0.462864721485411,0.258369723435226,0.237517831669044,-0.0402991275446614,-0.0417439703153989,"39",0,0,0
315225,6763635,-0.0146085128744088,-0.0141509433962264,-0.0804757760371337,-0.0746548092674936,0.385535989057959,0.509636333165745,0.442241968557758,0.472505762265393,0.248905109489051,0.2415770609319,-0.0450680272108844,-0.0500587544065805,"40",0,0,0
315235,6763635,-0.0140665640426774,-0.0127693535514765,-0.0825082508250825,-0.0722920123251955,0.417009602194787,0.519523494374586,0.479885541154688,0.501046867450475,0.275936599423631,0.248444932308818,-0.0400344382264313,-0.0524308865586273,"41",0,0,0
315245,6763635,-0.0139302943248957,-0.0112630732099759,-0.0819418860300671,-0.0688414487886783,0.421396628826969,0.485461656180922,0.469912102772143,0.492459016393443,0.271659324522761,0.242268041237113,-0.0424879544459045,-0.0542864161139769,"42",0,0,0
315255,6763635,-0.0155986738409696,-0.014365522745411,-0.08226343319068,-0.0739151168335718,0.410416666666667,0.478171192849777,0.465889612615701,0.483294740324181,0.275951237532324,0.24253376450447,-0.0281818181818182,-0.051769677760169,"43",0,0,0
315265,6763635,-0.0148103944013454,-0.0160513643659711,-0.0790345480359678,-0.075494165277447,0.400138696255201,0.461486025903204,0.456679323438039,0.477128547579299,0.271646228167967,0.249719206289779,-0.0336976320582878,-0.0530089628681178,"44",0,0,0
315275,6763635,-0.0142262130145508,-0.0168,-0.075725406935598,-0.0713439203602749,0.374825174825175,0.43568747867622,0.432709290003532,0.452433817250213,0.274236137306677,0.255051467784979,-0.0417227456258412,-0.0551102204408818,"45",0,0,0
