X,Y,2023-04-06,2023-05-01,2023-05-16,2023-05-22,2023-06-08,2023-06-26,2023-07-08,2023-07-26,2023-07-29,2023-08-07,2023-08-08,2023-08-17,2023-09-23,2023-10-03,2023-10-11,2023-10-17,id,2023-11-26,2023-11-28,2022-12-11
639345,7691785,-0.00287081339712919,-0.0373376623376623,-0.0289059641419685,-0.0191740412979351,-0.00978336827393431,-0.0871683811586356,0.0767386091127098,0.182372245663385,0.215311004784689,0.243375458622095,0.272422464375524,0.25895087427144,0.170788253477589,0.164925373134328,0.00899974286448959,0.0138805069402535,"48",0,0,0
639355,7691785,-0.00961240310077519,-0.0387913434054716,-0.0385863685539127,-0.0200594353640416,-0.0212321615036547,-0.0712481051035877,0.00957243139757498,0.19482917820868,0.236694071830376,0.276629570747218,0.242839352428394,0.303550059832469,0.18927087268606,0.171806167400881,0.00925449871465296,0.0168093878845544,"49",0,0,0
639365,7691785,0.000310077519379845,-0.0423197492163009,-0.0276946107784431,-0.0179640718562874,-0.00628053035589672,-0.0956022944550669,0.0649180327868853,0.162666666666667,0.189289012003693,0.267628205128205,0.245364381198793,0.283157038242474,0.178939034045922,0.165648854961832,0.00925449871465296,0.00341763499658236,"50",0,0,0
639375,7691785,-0.00286898310487727,-0.0198789974070873,-0.0170777988614801,-0.0211598746081505,-0.017913593256059,-0.0547770700636943,0.0725570509069631,0.14510575504181,0.167667436489607,0.217391304347826,0.194304490690033,0.246439361242987,0.150563607085346,0.142857142857143,0.00925449871465296,0.0547231270358306,"51",0,0,0
639385,7691785,-0.00666878374087012,-0.0222643297015632,-0.0216791486007095,-0.0147704590818363,-0.0209205020920502,-0.031021897810219,0.00701565029681597,0.122892743708771,0.125174499767334,0.176621160409556,0.169230769230769,0.203823071793732,0.125309150865622,0.117647058823529,0.0234619395203337,0.0429279031370391,"52",0,0,0
639395,7691785,-0.00926221654423507,-0.0330864197530864,-0.0323937736642827,-0.0207171314741036,-0.0113989637305699,-0.0566770186335404,-0.0273170731707317,0.0961817303044949,0.100714450334178,0.136922424756253,0.15700325732899,0.167757958907203,0.112207151664612,0.0951008645533141,0.0437188710570006,-0.00714285714285714,"53",0,0,0
639405,7691785,-0.00523560209424084,-0.0181435708651065,-0.0451675570665372,-0.0280210157618214,-0.00069589422407794,-0.0324106931629998,-0.042152466367713,0.12178148921364,0.156605034528848,0.141797197032152,0.168312670729145,0.15703231679563,0.107041107041107,0.125665165779779,0.0108958837772397,0.0273477812177503,"54",0,0,0
639415,7691785,0.00202565833896016,0.0006426735218509,-0.0170517051705171,-0.0232330643189044,-0.00357653791130186,0.0707456978967495,0.054421768707483,0.196228897171673,0.234358430540827,0.209585702680747,0.237254114813328,0.220767888307155,0.140928940055578,0.147528221097703,-0.0167158308751229,0.0664488017429194,"55",0,0,0
639425,7691785,0.00417536534446764,0.0269914417379855,-0.024525682554373,-0.0088261253309797,-0.00925266903914591,0.0296918767507003,0.172441258462764,0.295454545454545,0.314203730272597,0.308351604544549,0.348242811501597,0.332527206771463,0.209319526627219,0.20314253647587,0.00591304347826087,0.0361892978657594,"56",0,0,0
639435,7691785,-0.00460176991150442,-0.00908173562058527,-0.00177619893428064,-0.0119965724078835,-0.00790797987059669,0.0191082802547771,0.20539464956887,0.323240589198036,0.347486481073503,0.364818891334801,0.366069631716643,0.375911689335699,0.239168721380768,0.227103499627699,0.00107411385606874,0.0283427809269757,"57",0,0,0
639445,7691785,-0.00659824046920821,-0.0199579831932773,-0.0227479526842584,-0.00623885918003565,-0.00830624774286746,0.040650406504065,0.23083661848445,0.361616161616162,0.366180528182893,0.370750988142293,0.408406647116325,0.388198757763975,0.218298015472587,0.233009708737864,0.00779423226812159,0.0259649122807018,"58",0,0,0
639455,7691785,-0.00637898686679174,-0.00132802124833997,-0.0298947368421053,-0.0142798857609139,-0.00699300699300699,-0.0665561999447666,0.2148213498015,0.391829341919903,0.400078833267639,0.41878706715133,0.439632042928325,0.439217162213022,0.227166276346604,0.250671785028791,-0.0081366965012205,0.0202367315769378,"59",0,0,0
639465,7691785,-0.010844306738962,-0.0420393559928444,-0.0441116956697693,-0.0211915233906437,-0.00744047619047619,-0.100768187980117,0.214611872146119,0.378912685337727,0.402371541501976,0.445828614571536,0.442145593869732,0.453527435610302,0.208390646492435,0.23208722741433,-0.00508905852417303,0.00983326207781103,"60",0,0,0
639475,7691785,-0.0112540192926045,-0.0506381226842322,-0.0384930384930385,-0.0276516714816343,-0.0108981585869974,-0.10079275198188,0.203433078172118,0.354731137974156,0.387673956262425,0.441353383458647,0.434111594776415,0.460636515912898,0.198243836541709,0.22488038277512,-0.00224719101123596,0.00888265544647031,"61",0,0,0
639485,7691785,-0.0136194799834915,-0.0395576350489154,-0.0332631578947368,-0.0216486261448793,-0.00877527661198016,-0.100616016427105,0.207839562443026,0.357359789431059,0.375540699960676,0.419847328244275,0.413786369849639,0.433860393366757,0.134867462860472,0.224758220502901,-0.00375586854460094,0.00806648741139086,"62",0,0,0
639495,7691785,-0.0104646295521139,-0.0389261744966443,-0.0270502361528553,-0.0182280627384485,-0.00617283950617284,-0.0982183645500228,0.251694915254237,0.399481673454276,0.409777138749101,0.429407461594733,0.435306820226741,0.455271275630557,0.0885964912280702,0.23863235812478,-0.0123636363636364,-0.00715746421267894,"63",0,0,0
