"";"id";"ndvi_mx";"ndv_mx_dy";"ndv_mx_dt";"2023-07-02";"2023-07-12";"2023-07-18";"2023-07-26";"tot.pixels";"snow.persist";"geometry"
"265";265;0,46967514519929;232,196767469479;2023-08-20;1;0,0597;0;0;40000;0,264925;list(c(639370, 639370, 639360, 639360, 639370, 7691750, 7691740, 7691740, 7691750, 7691750))
"266";266;0,465639307207312;231,374743679673;2023-08-19;1;1e-04;1e-04;0;40000;0,25005;list(c(639380, 639380, 639370, 639370, 639380, 7691750, 7691740, 7691740, 7691750, 7691750))
"267";267;0,45975752605591;229,497312231004;2023-08-17;0,970775;0,00255;0,001175;0,00045;40000;0,2437375;list(c(639390, 639390, 639380, 639380, 639390, 7691750, 7691740, 7691740, 7691750, 7691750))
"268";268;0,474966084904736;228,304314400062;2023-08-16;0,576175;0;0;0;40000;0,14404375;list(c(639400, 639400, 639390, 639390, 639400, 7691750, 7691740, 7691740, 7691750, 7691750))
"269";269;0,492075797068537;227,153756438754;2023-08-15;0,334175;0;0;0;40000;0,08354375;list(c(639410, 639410, 639400, 639400, 639410, 7691750, 7691740, 7691740, 7691750, 7691750))
"270";270;0,506919043400558;227,745875757664;2023-08-15;0,024425;0;0;0;40000;0,00610625;list(c(639420, 639420, 639410, 639410, 639420, 7691750, 7691740, 7691740, 7691750, 7691750))
"271";271;0,490908009312989;228,838228758243;2023-08-16;0,317675;2,5e-05;2,5e-05;0;40000;0,07943125;list(c(639430, 639430, 639420, 639420, 639430, 7691750, 7691740, 7691740, 7691750, 7691750))
"272";272;0,47774072989705;228,522768973246;2023-08-16;0,3524;0;0;0;40000;0,0881;list(c(639440, 639440, 639430, 639430, 639440, 7691750, 7691740, 7691740, 7691750, 7691750))
"273";273;0,462034894910175;229,331456792348;2023-08-17;0,742075;0,00145;2,5e-05;0,000725;40000;0,18606875;list(c(639450, 639450, 639440, 639440, 639450, 7691750, 7691740, 7691740, 7691750, 7691750))
"274";274;0,433131188357947;229,629189017862;2023-08-17;NA;0,010375;0,000625;0,000425;40000;NA;list(c(639460, 639460, 639450, 639450, 639460, 7691750, 7691740, 7691740, 7691750, 7691750))
"275";275;0,441567836831382;230,828942513577;2023-08-18;NA;0,0524;0,023525;0,0219;40000;NA;list(c(639470, 639470, 639460, 639460, 639470, 7691750, 7691740, 7691740, 7691750, 7691750))
"276";276;0,420973140033311;230,913561274243;2023-08-18;NA;0,141275;0,1274;0,063125;40000;NA;list(c(639480, 639480, 639470, 639470, 639480, 7691750, 7691740, 7691740, 7691750, 7691750))
"277";277;0,397757646620448;229,839621006042;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639490, 639490, 639480, 639480, 639490, 7691750, 7691740, 7691740, 7691750, 7691750))
"278";278;0,409603143176355;228,741926877676;2023-08-16;NA;NA;NA;NA;NA;NA;list(c(639500, 639500, 639490, 639490, 639500, 7691750, 7691740, 7691740, 7691750, 7691750))
"279";279;0,449588572359062;226,797300620201;2023-08-14;NA;NA;NA;NA;NA;NA;list(c(639510, 639510, 639500, 639500, 639510, 7691750, 7691740, 7691740, 7691750, 7691750))
"280";280;0,491239868133562;226,780884792042;2023-08-14;NA;NA;NA;NA;NA;NA;list(c(639520, 639520, 639510, 639510, 639520, 7691750, 7691740, 7691740, 7691750, 7691750))
"281";281;0,39380082594289;233,551230763886;2023-08-21;NA;NA;NA;NA;NA;NA;list(c(639180, 639180, 639170, 639170, 639180, 7691740, 7691730, 7691730, 7691740, 7691740))
"282";282;0,391680217355315;232,761494492566;2023-08-20;NA;NA;NA;NA;NA;NA;list(c(639190, 639190, 639180, 639180, 639190, 7691740, 7691730, 7691730, 7691740, 7691740))
"283";283;0,366007038319367;232,030589887752;2023-08-20;NA;NA;NA;NA;NA;NA;list(c(639200, 639200, 639190, 639190, 639200, 7691740, 7691730, 7691730, 7691740, 7691740))
"284";284;0,388939162919996;231,869644104114;2023-08-19;NA;NA;NA;NA;NA;NA;list(c(639210, 639210, 639200, 639200, 639210, 7691740, 7691730, 7691730, 7691740, 7691740))
"285";285;0,402052392717451;233,881351993285;2023-08-21;NA;NA;NA;NA;NA;NA;list(c(639220, 639220, 639210, 639210, 639220, 7691740, 7691730, 7691730, 7691740, 7691740))
"286";286;0,392636358155869;232,514358451041;2023-08-20;NA;NA;NA;NA;NA;NA;list(c(639230, 639230, 639220, 639220, 639230, 7691740, 7691730, 7691730, 7691740, 7691740))
"287";287;0,39424828079791;229,422301548904;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639240, 639240, 639230, 639230, 639240, 7691740, 7691730, 7691730, 7691740, 7691740))
"288";288;0,40855415497208;229,297373840825;2023-08-17;NA;NA;NA;NA;NA;NA;list(c(639250, 639250, 639240, 639240, 639250, 7691740, 7691730, 7691730, 7691740, 7691740))
"289";289;0,411865167683573;227,564624651994;2023-08-15;0,00015;0,000275;2,5e-05;0;40000;0,0001125;list(c(639260, 639260, 639250, 639250, 639260, 7691740, 7691730, 7691730, 7691740, 7691740))
"290";290;0,408615597443713;227,131326101258;2023-08-15;0;0;0;0;40200;0;list(c(639270, 639270, 639260, 639260, 639270, 7691740, 7691730, 7691730, 7691740, 7691740))
"291";291;0,393006304155278;226,991966445272;2023-08-14;0;0;0;0;40000;0;list(c(639280, 639280, 639270, 639270, 639280, 7691740, 7691730, 7691730, 7691740, 7691740))
"292";292;0,380146990457433;227,179432256831;2023-08-15;0;0;0;0;40000;0;list(c(639290, 639290, 639280, 639280, 639290, 7691740, 7691730, 7691730, 7691740, 7691740))
"293";293;0,374132197488507;226,706172936829;2023-08-14;0;0;0;0;40000;0;list(c(639300, 639300, 639290, 639290, 639300, 7691740, 7691730, 7691730, 7691740, 7691740))
"294";294;0,367353820482094;227,485237246678;2023-08-15;0;0;0;0;40000;0;list(c(639310, 639310, 639300, 639300, 639310, 7691740, 7691730, 7691730, 7691740, 7691740))
"295";295;0,363088807556778;227,800727682825;2023-08-15;2,5e-05;0;5e-05;0;40000;1,875e-05;list(c(639320, 639320, 639310, 639310, 639320, 7691740, 7691730, 7691730, 7691740, 7691740))
"296";296;0,359645625219855;227,373158523031;2023-08-15;0,197375;0,00065;4e-04;0,000175;40000;0,04965;list(c(639330, 639330, 639320, 639320, 639330, 7691740, 7691730, 7691730, 7691740, 7691740))
"297";297;0,342862783552846;227,821819279132;2023-08-15;0,8193;0;0;0;40000;0,204825;list(c(639340, 639340, 639330, 639330, 639340, 7691740, 7691730, 7691730, 7691740, 7691740))
"298";298;0,357838614254433;229,850679507032;2023-08-17;0,9999;5e-05;0;0;40000;0,2499875;list(c(639350, 639350, 639340, 639340, 639350, 7691740, 7691730, 7691730, 7691740, 7691740))
"299";299;0,374954360886477;231,42554447912;2023-08-19;0,9042;0,005;0;0,00025;40000;0,2273625;list(c(639360, 639360, 639350, 639350, 639360, 7691740, 7691730, 7691730, 7691740, 7691740))
"300";300;0,368758821583469;230,48388736885;2023-08-18;0,982275;0,00275;0;0,00025;40000;0,24631875;list(c(639370, 639370, 639360, 639360, 639370, 7691740, 7691730, 7691730, 7691740, 7691740))
"301";301;0,376461354098865;229,433139832403;2023-08-17;0,93865;0,000275;7,5e-05;2e-04;40000;0,2348;list(c(639380, 639380, 639370, 639370, 639380, 7691740, 7691730, 7691730, 7691740, 7691740))
"302";302;0,409585958812386;226,455307443346;2023-08-14;0,50535;1e-04;1e-04;5e-05;40000;0,1264;list(c(639390, 639390, 639380, 639380, 639390, 7691740, 7691730, 7691730, 7691740, 7691740))
"303";303;0,467319113566191;227,577041358491;2023-08-15;0,619625;0,000225;0;0;40000;0,1549625;list(c(639400, 639400, 639390, 639390, 639400, 7691740, 7691730, 7691730, 7691740, 7691740))
