"";"id";"ndvi_mx";"ndv_mx_dy";"ndv_mx_dt";"2023-07-02";"2023-07-12";"2023-07-18";"2023-07-26";"tot.pixels";"snow.persist";"geometry"
"52";52;0,244357253308408;247,029115779096;2023-09-04;0,296388991171121;0,00000553708323066658;0;0;361201;0,0740986320635879;list(c(639285, 639285, 639255, 639255, 639285, 7691685, 7691655, 7691655, 7691685, 7691685))
"53";53;0,255919279930822;246,118201481597;2023-09-03;0,919334442595674;0,00000554631170271769;0,00000277315585135885;0;360600;0,229835690515807;list(c(639315, 639315, 639285, 639285, 639315, 7691685, 7691655, 7691655, 7691685, 7691685))
"54";54;0,263471189315169;257,042474937658;2023-09-14;0,426849694952856;0,00625069328896284;0,00258180809761509;0,0151192457016084;360600;0,112700360510261;list(c(639345, 639345, 639315, 639315, 639345, 7691685, 7691655, 7691655, 7691685, 7691685))
"55";55;0,281289512091462;254,16515451029;2023-09-11;0,605998336106489;0,0113117027176927;0,00900721020521353;0,0244425956738769;360600;0,162689961175818;list(c(639375, 639375, 639345, 639345, 639375, 7691685, 7691655, 7691655, 7691685, 7691685))
"56";56;0,305616073856072;240,55416363238;2023-08-28;0,214589572933999;0,00306433721575153;0,00222407099278979;0,000110926234054354;360600;0,0549972268441486;list(c(639405, 639405, 639375, 639375, 639405, 7691685, 7691655, 7691655, 7691685, 7691685))
"57";57;0,296216382048442;230,388956086121;2023-08-18;0,415485302273988;0,0000388241819190239;0;0;360600;0,103881031613977;list(c(639435, 639435, 639405, 639405, 639435, 7691685, 7691655, 7691655, 7691685, 7691685))
"58";58;0,276515941601247;228,678717416802;2023-08-16;0,983610648918469;0,0000665557404326123;0,0000804215196894065;0;360600;0,245939406544648;list(c(639465, 639465, 639435, 639435, 639465, 7691685, 7691655, 7691655, 7691685, 7691685))
"59";59;0,290866634859412;223,820308996463;2023-08-11;NA;NA;NA;NA;NA;NA;list(c(639495, 639495, 639465, 639465, 639495, 7691685, 7691655, 7691655, 7691685, 7691685))
"60";60;0,260567932724371;224,512618746496;2023-08-12;NA;NA;NA;NA;NA;NA;list(c(639525, 639525, 639495, 639495, 639525, 7691685, 7691655, 7691655, 7691685, 7691685))
"61";61;0,252584528043371;248,845232643453;2023-09-05;NA;NA;NA;NA;NA;NA;list(c(639195, 639195, 639165, 639165, 639195, 7691655, 7691625, 7691625, 7691655, 7691655))
"62";62;0,256666940360446;234,655158940139;2023-08-22;NA;NA;NA;NA;NA;NA;list(c(639225, 639225, 639195, 639195, 639225, 7691655, 7691625, 7691625, 7691655, 7691655))
