"";"sample.id";"latitude";"longitude";"first.yr";"last.yr";"n.yr.obs";"trend.period";"si";"slope";"intercept";"tau";"pval";"total.change";"total.change.pcnt";"trend.cat"
"100";"blaesedalen_37";69,2990776;-53,4672951;2000;2020;20;"2000to2020";"ndvi.max";0,00111;0,7699;0,146;0,4011;0,023;3;"no_trend"
"101";"blaesedalen_38";69,2990621;-53,4665361;2000;2020;19;"2000to2020";"ndvi.max";0,00115;0,8452;0,085;0,6494;0,024;2,8;"no_trend"
"102";"blaesedalen_39";69,2990466;-53,4657771;2000;2020;20;"2000to2020";"ndvi.max";-0,00184;0,8262;-0,216;0,2079;-0,039;-4,7;"no_trend"
"103";"blaesedalen_4";69,2999297;-53,4694407;2000;2020;19;"2000to2020";"ndvi.max";0,00017;0,6817;0,007;1;0,004;0,6;"no_trend"
"104";"blaesedalen_40";69,2990311;-53,4650181;2000;2020;20;"2000to2020";"ndvi.max";0,00154;0,7304;0,041;0,8337;0,032;4,4;"no_trend"
"105";"blaesedalen_41";69,2990156;-53,4642591;2000;2020;20;"2000to2020";"ndvi.max";-0,00105;0,9501;-0,158;0,363;-0,022;-2,3;"no_trend"
"106";"blaesedalen_42";69,2990001;-53,4635001;2000;2020;20;"2000to2020";"ndvi.max";-0,00143;0,8091;-0,135;0,4415;-0,03;-3,7;"no_trend"
"107";"blaesedalen_43";69,2989845;-53,4627411;2000;2020;20;"2000to2020";"ndvi.max";-0,00264;0,7792;-0,275;0,1075;-0,055;-7,1;"no_trend"
"108";"blaesedalen_44";69,298969;-53,4619821;2000;2020;20;"2000to2020";"ndvi.max";-0,00122;0,7919;-0,123;0,4841;-0,026;-3,3;"no_trend"
"109";"blaesedalen_45";69,2988556;-53,4696159;2000;2020;17;"2000to2020";"ndvi.max";0,00093;0,6798;0,083;0,6853;0,02;2,9;"no_trend"
"110";"blaesedalen_46";69,2988401;-53,4688569;2000;2020;19;"2000to2020";"ndvi.max";-0,00004;0,705;-0,007;1;-0,001;-0,1;"no_trend"
"111";"blaesedalen_47";69,2988246;-53,4680979;2000;2020;18;"2000to2020";"ndvi.max";-0,00007;0,7679;-0,029;0,9016;-0,001;-0,1;"no_trend"
"112";"blaesedalen_48";69,2988091;-53,4673389;2000;2020;17;"2000to2020";"ndvi.max";-0,00134;0,6548;-0,083;0,6853;-0,028;-4,3;"no_trend"
"113";"blaesedalen_49";69,2987936;-53,4665799;2000;2020;17;"2000to2020";"ndvi.max";-0,00173;0,672;-0,15;0,444;-0,036;-5,4;"no_trend"
"114";"blaesedalen_5";69,2999142;-53,4686816;2000;2020;20;"2000to2020";"ndvi.max";0,00164;0,784;0,17;0,3273;0,034;4,3;"no_trend"
"115";"blaesedalen_50";69,2987781;-53,4658209;2000;2020;18;"2000to2020";"ndvi.max";0,00161;0,7349;0,118;0,5366;0,034;4,6;"no_trend"
"116";"blaesedalen_51";69,2987626;-53,4650619;2000;2020;20;"2000to2020";"ndvi.max";0,00305;0,5848;0,205;0,2342;0,064;10,9;"no_trend"
"117";"blaesedalen_52";69,2987471;-53,4643029;2000;2020;20;"2000to2020";"ndvi.max";-0,00095;0,8107;-0,193;0,2629;-0,02;-2,5;"no_trend"
"118";"blaesedalen_53";69,2987315;-53,4635439;2000;2020;20;"2000to2020";"ndvi.max";-0,00139;0,7267;-0,123;0,4841;-0,029;-4;"no_trend"
"119";"blaesedalen_54";69,298716;-53,462785;2000;2020;20;"2000to2020";"ndvi.max";-0,001;0,6629;-0,123;0,4841;-0,021;-3,2;"no_trend"
"120";"blaesedalen_55";69,2987005;-53,462026;2000;2020;20;"2000to2020";"ndvi.max";-0,00077;0,5119;-0,135;0,4415;-0,016;-3,1;"no_trend"
"121";"blaesedalen_56";69,2985871;-53,4696597;2000;2020;18;"2000to2020";"ndvi.max";0,00168;0,8525;0,235;0,2016;0,035;4,1;"no_trend"
"122";"blaesedalen_57";69,2985716;-53,4689007;2000;2020;18;"2000to2020";"ndvi.max";0,00282;0,7564;0,206;0,2661;0,059;7,8;"no_trend"
"123";"blaesedalen_58";69,2985561;-53,4681417;2000;2020;19;"2000to2020";"ndvi.max";0,00059;0,6875;0,059;0,7619;0,012;1,7;"no_trend"
"124";"blaesedalen_59";69,2985406;-53,4673827;2000;2020;20;"2000to2020";"ndvi.max";0,00121;0,7399;0,135;0,4415;0,025;3,4;"no_trend"
